title,rating,acidity_structure,aftertaste,aroma,body,flavor,with_milk,agtron,blind_assessment,bottom_line,coffee_origin,est_price,notes,review_date,roast_level,roaster,roaster_location,url
Ethiopia Wegida Natural,94.0,9.0,8.0,9.0,9.0,9.0,,62/80,"Deep-toned, sweet-savory. Lychee, rose hips, sandalwood, dark chocolate, marjoram in aroma and cup. Sweet-savory structure with citrusy acidity; viscous, satiny mouthfeel. The resonant finish leads with lychee and rose hips, rounding to crisp chocolate and marjoram in the long.","A very balanced, clean natural-processed Ethiopia with a sweetly herb- and stone fruit-driven palate; exceptionally pretty, plush mouthfeel.","Yirgacheffe growing region, southern Ethiopia",$20.00/12 ounces,"Southern Ethiopia coffees like this one are largely produced from distinctive indigenous Ethiopian varieties of Arabica long grown in the region. This is a dry-processed or “natural” version, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with washed coffees. Wonderstate Coffee, formerly Kickapoo Coffee, is an award-winning roaster based in rural Wisconsin known for its commitment to guaranteeing higher pay for farmers and being the country’s first 100% solar-powered roastery. Visit https://wonderstate.com/ for more information.",August 2020,Light,Wonderstate Coffee,"Viroqua, Wisconsin",https://www.coffeereview.com/review/ethiopia-wegida-natural/
Ethiopia Guji Bishala,94.0,9.0,8.0,9.0,9.0,9.0,,58/76,"Delicately sweet-tart, floral-toned. Narcissus, apricot, cocoa nib, lemon verbena, frankincense in aroma and cup. Sweet-tart structure with delicately juicy acidity; very full, syrupy mouthfeel. Cocoa nib and narcissus focus the long, lingering finish.","An elegant, floral-driven washed-process Ethiopia cup that presents in the cup with quiet confidence.","Guji Zone, Oromia Region, southern Ethiopia",NT $290/8 ounces,"Southern Ethiopia coffees like this one are largely produced from distinctive indigenous Ethiopian varieties of Arabica long grown in their respective regions. Processed by the wet or washed method, in which skin and fruit flesh are removed from the beans or seeds before they are dried. Kakalove Café is a nano-roaster located in the small city of Chia-Yi in Taiwan that strives to procure and roast the finest quality coffee. Visit www.kakalovecafe.com.tw or email [email protected] for more information.",August 2020,Medium-Light,Kakalove Cafe,"Chia-Yi, Taiwan",https://www.coffeereview.com/review/ethiopia-guji-bishala/
Kenya Nyeri AB Nyeshun,96.0,9.0,9.0,9.0,9.0,10.0,,58/78,"Bright yet deep-toned, sweet-tart-savory, intensely floral. Mango, dark chocolate, hop flowers, lilac, wild honey in aroma and cup. Richly bittersweet structure with juicy-bright acidity; viscous, nectar-like mouthfeel. Flavor-saturated, chocolaty finish.","A balanced yet supremely intricate Kenya cup that hits all the notes: tropical fruit, deep chocolate, both savory and sweet florals, and a distinct wild honey.","Nyeri growing region, south-central Kenya",NT $400/8 ounces,"This exceptional coffee was selected as the No. 9 coffee on Coffee Review’s list of the Top 30 Coffees of 2020. Despite challenges ranging from unclear government coffee policy and urban encroachment on prime coffee lands to chronically unstable weather, the famed Kenya coffee auction system and its participating cooperatives continue to produce some of the world’s most elegant and distinctive coffees. Processed by a particularly meticulous Kenya variation on the traditional wet or “washed” method, in which skin and fruit flesh are removed from the beans or seeds before they are dried. Kakalove Café is a nano-roaster located in the small city of Chia-Yi in Taiwan that strives to procure and roast the finest quality coffee. Visit www.kakalovecafe.com.tw or email [email protected] for more information.",August 2020,Medium-Light,Kakalove Cafe,"Chia-Yi, Taiwan",https://www.coffeereview.com/review/kenya-nyeri-ab/
Gelena Abaya Natural,91.0,8.0,8.0,8.0,8.0,9.0,,54/72,"Crisply sweet, delicately fruit-toned. Blueberry, baking chocolate, oak, agave syrup, magnolia in aroma and cup. Sweet structure with gentle, round acidity; crisp, velvety mouthfeel. Blueberry and baking chocolate lead the short finish, with magnolia returning in the long.",A straight-ahead natural-process Yirgacheffe with classic blueberry top notes and pleasing chocolate undertones.,"Yirgacheffe growing region, south-central Ethiopia",$16.00/12 ounces,"Yirgacheffe is a coffee region in southern Ethiopia that produces distinctive coffees largely from indigenous varieties of Arabica long grown in the region. This is a “natural” or dry-processed version (beans are dried in the whole fruit). Indaba Coffee is a small family-owned business in the heart of Spokane, Washington whose mission is “radical hospitality.” Visit www.indabacoffee.com for more information.",August 2020,Medium-Light,Indaba Coffee Roasters,"Spokane, Washington",https://www.coffeereview.com/review/gelena-abaya-natural/
Ethiopia Suke Quto,93.0,8.0,8.0,9.0,9.0,9.0,,58/74,"Brightly fruit-toned, deeply sweet-tart. Pomegranate, jasmine, honey, cedar, pink grapefruit zest in aroma and cup. Sweetly tart structure with brisk acidity; full, creamy mouthfeel. Finish consolidates to notes of jasmine, honey and grapefruit.",A cleanly fruit-forward natural-process Ethiopia cup with a particularly full yet lively mouthfeel.,"Guji Zone, Oromia Region, south-central Ethiopia",$16.00/12 ounces,"Southern Ethiopia coffees like this one are largely produced from distinctive indigenous Ethiopian varieties of Arabica long grown in the region. This is a dry-processed or “natural” version, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with washed coffees. Indaba Coffee is a small family-owned business in the heart of Spokane, Washington whose mission is “radical hospitality.” Visit www.indabacoffee.com for more information.",August 2020,Medium-Light,Indaba Coffee Roasters,"Spokane, Washington",https://www.coffeereview.com/review/ethiopia-suke-quto-2/
Organic Mexico,90.0,8.0,8.0,8.0,8.0,8.0,,54/70,"Crisply sweet, lightly floral-toned. Magnolia, cocoa nib, date, cedar, agave syrup in aroma and cup. Sweet structure with gentle, round acidity; velvety-smooth mouthfeel. The quiet finish centers around notes of cocoa-toned date and cedar.","A pleasing Chiapas cup, floral-driven with ballast from suggestions of cocoa and aromatic wood.","Chiapas, Mexico",$16.99/14 ounces,"Certified organic. Emiliani Coffee, named after Gerolamo Emiliani, aka St. Jerome, donates $1 or every bag of coffee sold to organizations that are fighting for kids in the foster care and adoption system. Visit www.emilianicoffee.com for more information.",August 2020,Medium-Light,Emiliani Coffee,"Minneapolis, Minnesota",https://www.coffeereview.com/review/organic-mexico/
Organic Sumatra,91.0,8.0,8.0,8.0,8.0,9.0,,44/60,"Richly and sweetly earth-toned. Fresh humus, dark chocolate, gently scorched oak, almond, red apple in aroma and cup. Sweet-savory structure with pert acidity; full, satiny mouthfeel. Resonant, gently drying finish with sweetly smoky chocolate and fresh humus notes.","A classic Sumatra cup, with deep sweetness and rich earth in balance, darker-roasted to bring out the chocolate notes.","Aceh, Sumatra, Indonesia",$16.99/14 ounces,"Certified organic and Fair Trade. Emiliani Coffee, named after Gerolamo Emiliani, aka St. Jerome, donates $1 or every bag of coffee sold to organizations that are fighting for kids in the foster care and adoption system. Visit www.emilianicoffee.com for more information.",August 2020,Medium,Emiliani Coffee,"Minneapolis, Minnesota",https://www.coffeereview.com/review/organic-sumatra-6/
Organic Peru,92.0,8.0,8.0,9.0,8.0,9.0,,50/72,"Chocolaty, sweetly nut-toned. Baking chocolate, cashew butter, raisin, gardenia, molasses in aroma and cup. Sweet structure with brisk acidity; crisp, satiny mouthfeel. The nut-toned finish is supported by notes of baking chocolate and raisin.","A friendly, balanced cup that leads with chocolate and nut tones, crisply sweet with floral undertones.",Peru,$16.99/14 ounces,"Certified organic. Emiliani Coffee, named after Gerolamo Emiliani, aka St. Jerome, donates $1 or every bag of coffee sold to organizations that are fighting for kids in the foster care and adoption system. Visit www.emilianicoffee.com for more information.",August 2020,Medium-Light,Emiliani Coffee,"Minneapolis, Minnesota",https://www.coffeereview.com/review/organic-peru-2/
Amazon Haze,86.0,7.0,7.0,7.0,7.0,8.0,,46/70,"Cocoa-toned, gently roasty. Cocoa powder, lightly scorched cedar, Brazil nut, raisin, lily in aroma and cup. Sweet-savory structure with barely perceptible acidity; velvety, heavyish mouthfeel. Gently drying wood-framed finish with hints of cocoa powder and lily.",A darker-roasted Guatemala cup that foregrounds notes of lightly scorched aromatic wood and sweet cocoa powder.,Guatemala,$17.00/12 ounces,"A single-origin washed-process coffee from Guatemala. 421 Brew House is a specialty coffee roaster founded in 2019 in Calgary, Alberta, Canada. Visit www.421brewhouse.com for more information.",August 2020,Medium,421 Brew House,"Calgary, Alberta, Canada",https://www.coffeereview.com/review/amazon-haze/
Sahara Sunrise,90.0,8.0,8.0,8.0,8.0,8.0,,50/76,"Crisply sweet, cocoa-toned. Baking chocolate, hazelnut, magnolia, pear, fresh-cut fir in aroma and cup. Sweet structure with brisk acidity; satiny-smooth mouthfeel. The finish consolidates to hazelnut and cocoa nib with fir undertones.","An easygoing, comfortable Rwanda cup characterized by nut-toned cocoa and crisp pear notes.",Rwanda,$17.00/12 ounces,"A single-origin washed-process coffee from Rwanda. 421 Brew House is a specialty coffee roaster founded in 2019 in Calgary, Alberta, Canada. Visit www.421brewhouse.com for more information.",August 2020,Medium-Light,421 Brew House,"Calgary, Alberta, Canada",https://www.coffeereview.com/review/sahara-sunrise/
Ethiopia Kayon Mountain (Washed),94.0,9.0,8.0,9.0,9.0,9.0,,62/88,"Elegant, high-toned, complex. Apricot, narcissus, lime, almond brittle, lemon balm in aroma and cup. Sweet-savory structure with juicy, bright acidity; plush, syrupy mouthfeel. The finish centers around notes of apricot and narcissus with undertones of almond brittle.","A delicate, confident, multi-layered Ethiopia cup that delivers stone fruit, deep florals, and juicy-bright acidity. ","Odo Shakiso District, Guji Zone, southern Ethiopia",$18.49/12 ounces,"Produced by the Hassen family at their estate farm in the Guji Zone from distinctive traditional varieties of Arabica long grown in the region. Processed by the wet or washed method (fruit skin and pulp are removed before drying). Established in 2010, Red Rooster is an organic-certified micro-roaster focusing on socially conscious coffee and high-quality coffee. Visit redroostercoffee.com or call 540-745-7338 for more information.",August 2020,Light,Red Rooster Coffee Roaster,"Floyd, Virginia",https://www.coffeereview.com/review/ethiopia-kayon-mountain-washed/
Peru San Ignacio Calazobo Lot 2 FTO,93.0,8.0,8.0,9.0,9.0,9.0,,54/72,"Chocolaty and stone fruit-driven. Apricot, milk chocolate, narcissus, maple syrup, cedar in aroma and cup. Sweet structure with mild acidity; full, satiny-smooth mouthfeel. Finish consolidates to notes of milk chocolate and cedar with hints of apricot.","A welcoming, balanced, richly sweet Peru with a lilting throughline of milk chocolate; particularly satisfying mouthfeel and gentle acidity.","Cajamarca, Peru",$15.00/12 ounces,"This exceptional coffee was selected as the No. 30 coffee on Coffee Review’s list of the Top 30 Coffees of 2020.  Produced by smallholding members of the Aprocanorsi Cooperative from trees of the Caturra and Catimor varieties of Arabica and processed by the washed method (fruit skin and pulp are removed before drying). SkyTop Coffee is a USDA certified-organic specialty coffee roaster based in Manlius, New York. For more information, visit skytopcoffee.com.",August 2020,Medium-Light,SkyTop Coffee,"Manlius, New York",https://www.coffeereview.com/review/peru-san-ignacio-calazobo-lot-2-fto/
Ethiopia Kayon Mountain (Natural),94.0,9.0,8.0,9.0,9.0,9.0,,64/92,"Fruit-toned, richly floral. Wild strawberry, lilac, honey, pink peppercorn, dark chocolate in aroma and cup. Sweetly tart structure with citrusy acidity; full, creamy mouthfeel. The finish is all strawberry, lilac and chocolate.","A fruit and flower extravaganza; this clean natural-processed cup offers an abundance of berry, sweet floral, and dark chocolate notes, all in balance and lucidly expressed.","Odo Shakiso District, Guji Zone, southern Ethiopia",$18.99/12 ounces,"Produced by the Hassen family at their estate farm in the Guji Zone from distinctive traditional varieties of Arabica long grown in the region. This is a dry-processed or “natural” version, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or “washed” coffees. Certified USDA organic. Established in 2010, Red Rooster is an organic-certified micro-roaster focusing on socially conscious coffee and high-quality coffee. Visit redroostercoffee.com or call 540-745-7338 for more information.",August 2020,Light,Red Rooster Coffee Roaster,"Floyd, Virginia",https://www.coffeereview.com/review/ethiopia-kayon-mountain-natural-4/
Ethiopia Duromina Agaro Gera,93.0,9.0,8.0,9.0,8.0,9.0,,60/78,"Fruit-toned, tropical. Lychee, guava, cocoa nib, violet, sandalwood in aroma and cup. Sweet-tart structure with crisp, high-toned acidity; lightly syrupy mouthfeel. The finish centers around lychee and sandalwood notes.","A particularly fruit-centered washed-process Ethiopia cup, tropical leaning in its aromatics with a mysterious and pretty note of sandalwood running throughout.","Agaro Gera, Jimma Zone, Oromia State, Ethiopia",$15.00/12 ounces,"Southern Ethiopia coffees like this one are produced largely from local, indigenous varieties of Arabica. Produced by smallholding members of the Nano Challa Cooperative and processed by the wet, or washed, method (fruit skin and pulp are removed before drying). SkyTop Coffee is a USDA certified-organic specialty coffee roaster based in Manlius, New York. For more information, visit skytopcoffee.com. ",August 2020,Medium-Light,SkyTop Coffee,"Manlius, New York",https://www.coffeereview.com/review/ethiopia-duromina-agaro-gera/
Kenya Gicherori,94.0,9.0,8.0,9.0,9.0,9.0,,58/78,"Rich-toned, deeply expressed, complex. Black currant, toffee, jasmine, pink grapefruit zest, baking spices in aroma and cup. Complex, bittersweet structure with juicy-bright acidity; lush, syrupy mouthfeel. Resonantly, lingering finish with notes of black currant and jasmine in the short, pink grapefruit zest and baking spices in the long — all held together by a sweet depth redolent of toffee.","A nuanced, juicy, high-toned Kenya cup expressing admired and classic descriptors associated with the origin, including hallmark black currant and spice-toned, jasmine-like flowers.","Embu, Kenya",$23.50/12 ounces,"Produced by members of the Kibugu Farmer's Cooperative Society and comprised of coffees from trees of the SL 28, Ruiru 11 and Batian varieties of Arabica. Committed to sourcing, roasting and brewing the finest coffees, Temple features coffee from distinguished single estates and cooperatives around the world. Visit www.templecoffee.com or call 916-454-1282 for more information.",August 2020,Medium-Light,Temple Coffee Roasters,"Sacramento, California",https://www.coffeereview.com/review/kenya-gicherori-2/
Kenya Gatuya,94.0,9.0,8.0,9.0,9.0,9.0,,55/73,"Bright, sweetly savory, deep-toned. Black currant, dark chocolate, cedar, hop flowers, jasmine in aroma and cup. Richly bittersweet structure with floral-toned acidity; plush, syrupy mouthfeel. The resonant finish centers around notes of black currant, dark chocolate and hop flowers.","A big, juicy, classic Kenya cup with distinct black currant notes characteristic of the origin, deep tones of dark chocolate throughout, and two differing floral tones, one savory (hop flowers) and one sweet (jasmine).","Murang'a County, central Kenya",$21.00/12 ounces,"Produced by smallholding farmers and processed at the Gatuya wet mill. Despite grower discontent and urban encroachment on prime coffee lands, Kenya continues to produce some of the world’s most elegant and distinctive coffees. Drink Coffee Do Stuff has a roastery in Truckee, California and a coffee shop in nearby Incline Village, Nevada. Visit www.drinkcoffeedostuff.com for more information.",August 2020,Medium-Light,Drink Coffee Do Stuff,"Truckee, California",https://www.coffeereview.com/review/kenya-gatuya-2/
Miraflores Colombia,95.0,9.0,9.0,9.0,9.0,9.0,,58/78,"Crisply sweet, richly high-toned. Pink grapefruit zest, cocoa nib, black cherry, dried hibiscus, cedar in aroma and cup. Sweet-tart structure with bright, citrusy acidity; plush, syrupy mouthfeel. Flavor-saturated finish with especially distinct notes of black cherry and cocoa nib.","A rich, juicy, exhilarating Colombia cup: sweetly tart with herb-toned floral and resonant cocoa notes.","Sevilla, San Augustin, Huila, Colombia",$22.00/12 ounces,"Produced by Gilma Munoz from trees of the Caturra, Colombia and Castillo varieties of Arabica and processed by the washed method. JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information.",August 2020,Medium-Light,JBC Coffee Roasters,"Madison, Wisconsin",https://www.coffeereview.com/review/miraflores-colombia/
Karani Kenya,95.0,9.0,9.0,9.0,9.0,9.0,,56/74,"Complex, fruit-toned and chocolaty. Red currant, dark chocolate, hazelnut butter, narcissus, agave syrup in aroma and cup. Sweet-toned structure with vibrant, juicy acidity; full, syrupy-smooth mouthfeel. The deep, chocolaty finish supported by sweet-tart fruit notes and narcissus-like florals.",An alluring Kenya cup with classic red fruit and dark chocolate notes in harmony. Particularly plush mouthfeel.,"Kirinyaga, Kenya",$21.00/12 ounces,"Produced by smallholding farmers and processed at the Karani wet mill from trees of the SL28, SL34, Ruiru 11 and Batian varieties of Arabica. JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information.

 ",August 2020,Medium-Light,JBC Coffee Roasters,"Madison, Wisconsin",https://www.coffeereview.com/review/karani-kenya/
Colombia San Luís Gesha,94.0,9.0,8.0,9.0,9.0,9.0,,60/76,"Rich-toned, elegantly sweet. Wild honey, dried apricot, lilac, myrrh, sandalwood in aroma and cup. Sweetly tart structure with juicy, bright acidity; full, syrupy-smooth mouthfeel.The finish consolidates to notes of dried apricot and myrrh with undertones of wild honey.","A delicate, confident honey-processed Colombia Gesha: balanced, bright, floral- and fruit-toned.","Tolima, Colombia",$24.99/10 ounces,"Produced by Omar Arango Tinoco of Finca San Luís entirely from trees of the Gesha (also spelled Geisha) variety of Arabica and processed by the honey method, in which some fruit flesh (“honey”) is allowed to adhere to the beans during drying. Peach Coffee Roasters is an Atlanta, Georgia-based specialty roaster. Visit peachcoffeeroasters.com for more information.",August 2020,Medium-Light,Peach Coffee Roasters,"Johns Creek, Georgia",https://www.coffeereview.com/review/colombia-san-luis-gesha/
Kenya Karatina AA 2020,94.0,9.0,8.0,9.0,9.0,9.0,,58/76,"Vibrantly floral-toned, sweetly pungent. Narcissus, toffee, black currant, cedar, dark caramel in aroma and cup. Sweet-tart structure with bright, juicy acidity; plush, syrupy mouthfeel. Finish leads with toffee and black currant notes supported by narcissus-like flowers throughout.","A bright, juicy Kenya cup with citrusy acidity: sweet, tart, floral and caramelly all at once.","Nyeri growing region, south-central Kenya",$24.00/12 ounces,"Produced from the SL-28 and SL-34 varieties of Arabica. AA is the highest grade of Kenya coffee based on bean size and fewest physical imperfections. Dragonfly Coffee, named 2019 Micro-Roaster of the Year by Roast magazine, is now based in Henderson, Nevada. Visit dragonflycoffeeroasters.com or call 303-579-2154 for more information.",September 2020,Medium-Light,Dragonfly Coffee Roasters,"Henderson, Nevada",https://www.coffeereview.com/review/kenya-karatina-aa-2020/
Ethiopia Yirgacheffe Natural Farm Direct,94.0,9.0,8.0,9.0,9.0,9.0,,58/76,"Delicately and richly fruit-toned. Raspberry, dark chocolate, baking spices, tangerine zest, lemon verbena in aroma and cup. Sweet structure with winy acidity; very full, satiny mouthfeel. Chocolaty finish with notes of raspberry and baking spices.","A deep, delicately fruit-toned cup with ringing notes of dark chocolate throughout and citrusy undercurrents.","Yirgacheffe growing region, south-central Ethiopia",$22.00/12 ounces,"Yirgacheffe is a coffee region in southern Ethiopia that produces distinctive coffees largely from landrace varieties of Arabica long grown in the region. This is a “natural” or dry-processed version (beans are dried in the whole fruit). Dragonfly Coffee, named 2019 Micro-Roaster of the Year by Roast magazine, is now based in Henderson, Nevada. Visit dragonflycoffeeroasters.com or call 303-579-2154 for more information.",September 2020,Medium-Light,Dragonfly Coffee Roasters,"Henderson, Nevada",https://www.coffeereview.com/review/ethiopia-yirgacheffe-natural-farm-direct/
Papua New Guinea “Papa Kinne”,92.0,8.0,8.0,9.0,8.0,9.0,,54/72,"Richly nut- and floral-toned. Magnolia, hazelnut butter, baking chocolate, apricot, maple syrup in aroma and cup. Sweet structure with gentle, round acidity; velvety-smooth mouthfeel. Finish consolidates to notes of hazelnut butter and maple syrup with baking chocolate undertones.","A sweetly nut-toned, inviting PNG cup.","Purosa Village, Eastern Highlands, Papua New Guinea",$20.00/16 ounces,"Produced by the Kinne family from trees of the Bourbon and Typica varieties of Arabica and processed by the washed method. Lamppost Coffee Roasters is a specialty roaster in Bonney Lake, Washington founded by Jeff and Valorie King. Visit www.lamppostcoffee.com for more information.",September 2020,Medium-Light,Lamppost Coffee Roasters,"Bonney Lake, Washington",https://www.coffeereview.com/review/papua-new-guinea-papa-kinne/
Ethiopia Sidamo Bensa Natural Single-Variety Kurume G1,93.0,8.0,8.0,9.0,9.0,9.0,,56/70,"Deeply sweet, cocoa-toned. Dark chocolate, dried persimmon, hazelnut, wisteria, maple syrup in aroma and cup. Balanced, brisk but sweet structure with rounded acidity; satiny-smooth mouthfeel. The finish is thoroughly chocolaty with undertones of persimmon and hazelnut.","A balanced, engaging natural-processed Ethiopia cup characterized by cocoa-toned fruit and rich florals.","Sidamo (also Sidama) growing region, south-central Ethiopia",NT $700/230 grams,"Southern Ethiopia coffees like this one are largely produced from distinctive indigenous Ethiopian varieties of Arabica long grown in their respective regions. This is a dry-processed or “natural” version, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or “washed” coffees. Dory Coffee Roasters is a Taipei-based nano-roaster of specialty coffee. For more information, visit https://www.facebook.com/dorycoffee99/.",September 2020,Medium-Light,Dory Coffee Roasters,"Taipei, Taiwan",https://www.coffeereview.com/review/ethiopia-sidamo-bensa-natural-single-variety-kurume-g1/
Indonesia Lintong Mandheling,94.0,9.0,8.0,9.0,9.0,9.0,,58/78,"Deep, complex, sweetly pungent. Red currant, dark chocolate, moist fresh-fallen leaves, maple syrup, star jasmine in aroma and cup. Crisply sweet-savory in structure; plush, buoyant mouthfeel. Flavor resonates long into a richly drying finish.","A fine example of a traditional Sumatra cup: viscous, juicy, aromatically driven by deep, earth-toned fruit and dry chocolate.","Lintong growing region, North Sumatra Province, Indonesia",NT $450/225 grams,"Coffees from the northern part of the Indonesian island of Sumatra are valued for their complex earth and fruit notes that appear to result largely from unorthodox fruit removal and drying practices called “wet-hulling.” This is a particularly refined example of the type, produced in the Lintong region south of Lake Toba, one of the oldest and arguably the most admired of Sumatra growing regions. Peacock Coffee Roaster is a specialty coffee roaster in Taipei, Taiwan. Visit https://www.facebook.com/Peacock.Coffee.Roaster for more information.",September 2020,Medium-Light,Peacock Coffee Roaster,"Taipei, Taiwan",https://www.coffeereview.com/review/indonesia-lintong-mandheling/
Costa Rica Perla Negra,92.0,8.0,8.0,9.0,8.0,9.0,,52/68,"Sweet, crisp, fruit-toned. Raspberry, cocoa nib, orange zest, magnolia, fir in aroma and cup. Sweet-toned structure with round acidity; velvety-smooth mouthfeel. The finish consolidates to cocoa-toned raspberry and fir.","A berry-centered natural-process Costa Rica cup with delicate cocoa, floral and aromatic wood notes.","Sabanilla de Alajuela growing region, Costa Rica",$16.95/12 ounces,"Produced by Oscar and Francisca Chacon entirely from trees of the Caturra variety of Arabica; certified organically grown. Processed by the “natural” or dry method, meaning the beans were dried inside the entire fruit rather than after the soft fruit residue has been removed, as is the case with wet-processed or “washed” coffees. Located in southwestern Colorado, Durango Coffee lays claim to a rich coffee history that dates to 1986. Its motto is “Tough Town, Great Coffee.” Visit www.durangocoffee.com or call 800-748-2275 for more information. ",September 2020,Medium,Durango Coffee Company,"Durango, Colorado",https://www.coffeereview.com/review/costa-rica-perla-negra-2/
Ethiopia Guji Uraga,93.0,9.0,8.0,9.0,8.0,9.0,,60/76,"Crisp, delicate, richly sweet. Yellow plum, cocoa powder, narcissus, sandalwood, brown sugar in aroma and cup. Sweet-toned structure with lively acidity; full, satiny mouthfeel. Cocoa-toned plum and a hint of narcissus enliven the quiet finish.",A washed-process Ethiopia cup with leading notes of stone fruit and spicy florals and an appealingly bright structure.,"Guji Zone, southern Ethiopia",NT $500/8 ounces,"Southern Ethiopia coffees like this one are largely produced from distinctive indigenous Ethiopian varieties of Arabica long grown in the region. Processed by the wet or washed method (fruit skin and pulp are removed before drying). De Clieu Coffee is a Taiwan-based roaster whose mission it is to explore extraordinary coffees. For more information, visit www.facebook.com/declieucoffeetaipei.",September 2020,Medium-Light,De Clieu Coffee,"Taipei, Taiwan",https://www.coffeereview.com/review/ethiopia-guji-uraga-2/
Kona Champagne Natural Black Rock Farm,93.0,9.0,8.0,9.0,8.0,9.0,,62/80,"Deeply aromatic, tropical fruit-toned. Guava, lychee, ginger blossom, cocoa nib, agave syrup in aroma and cup. Sweetly tart structure with bright, juicy acidity; delicate, silky-smooth mouthfeel. Quietly fruit-centered finish with hints of cocoa nib.",An elegant wine-yeast-fermented natural-processed Kona cup with heady aromatics and lilting acidity.,"Kona, Big Island of Hawai’i",$24.95/12 ounces,"Produced at Black Rock Farm, overlooking Kona’s Kealakekua Bay, entirely of the Typica variety of Arabica. This lot was fermented in the whole fruit with wine yeasts, then dried, still in the whole fruit. Paradise Roasters specializes in micro-lot Arabica and Robusta coffees from Asia and other emerging origins. The company prides itself on quality and freshness, craft-roasting coffees in small batches only after orders are placed. Visit www.paradiseroasters.com or call 763-433-0626 for more information.",September 2020,Light,Paradise Roasters,"Minneapolis, Minnesota",https://www.coffeereview.com/review/kona-champagne-natural-black-rock-farm/
Ethiopia Sheka Kawo Kamina Natural,95.0,9.0,9.0,9.0,9.0,9.0,,58/72,"Complex — floral, citrusy, and multi-layered. Lime blossom, bergamot, lemon verbena, cocoa nib, frankincense in aroma and cup. Deeply sweet structure with high-toned, vibrant acidity. Rich, syrupy mouthfeel. The resonant, flavor-saturated finish goes on and on.","Impressively balanced for all its citrusy leanings, this lovely natural-processed Ethiopia cup has layers of nuance — flowers, fruit, cocoa, in particular. ","Illubabor Zone, Oromia Region, Ethiopia",$24.95/12 ounces,"Produced by Healeanna Georgalis of Moplaco Kawo Kamina Farm from trees of the Gemadro and other local, landrace varieties of Arabica and processed by the natural method. Paradise Roasters specializes in micro-lot Arabica and Robusta coffees from Asia and other emerging origins. The company prides itself on quality and freshness, craft-roasting coffees in small batches only after orders are placed. Visit www.paradiseroasters.com or call 763-433-0626 for more information.",September 2020,Medium-Light,Paradise Roasters,"Minneapolis, Minnesota",https://www.coffeereview.com/review/ethiopia-sheka-kawo-kamina-natural/
Tarrazu Asocafé Canet,92.0,8.0,8.0,9.0,8.0,9.0,,60/76,"Cocoa- and floral-driven. Baking chocolate, plum, fresh-cut fir, lime zest, gardenia in aroma and cup. Sweet in structure with gentle, round acidity; lightly syrupy mouthfeel. The finish consolidates to notes of cocoa-toned plum, lime zest, fir.","A zesty-sweet floral, chocolaty and citrusy Costa Rica cup.","Tarrazu growing region, Costa Rica",NT $500/227 grams,This coffee tied for the third-highest rating in a cupping of washed-process coffees from Central America and Mexico for Coffee Review’s September 2020 report. Produced by smallholding members of Asocafe Canet entirely from trees of the Caturra variety of Arabica and processed by the washed method. CofFeeling Coffee is based in Kaohsiung City in southern Taiwan. Visit www.coffeelingcafe.com or call +886-7-285-5300 for more information.,September 2020,Medium-Light,CofFeeling,"Kaohsiung City, Taiwan",https://www.coffeereview.com/review/tarrazu-asocafe-canet/
Honduras San Vincent,92.0,8.0,8.0,8.0,9.0,9.0,,58/76,"Sweetly pungent, richly nut- and floral-toned. Magnolia, hazelnut butter, baking chocolate, plum, agave syrup in aroma and cup. Sweet structure with brisk acidity; very full, syrupy-smooth mouthfeel. The rich-toned finish consolidates to notes of magnolia and hazelnut butter with undertones of red plum.",A balanced cup redolent of Nutella (chocolate and hazelnut spread) with particularly lively mouthfeel.,"Santa Barbara, Honduras",$21.00/12 ounces,"This coffee tied for the third-highest rating in a cupping of washed-process coffees from Central America and Mexico for Coffee Review’s September 2020 report. Produced by Marco Tullio Sabillion entirely from trees of the Parainema variety of Arabica and processed by the washed method. Founded by Paul Massard and Chris Nolte, Per’la focuses on meticulous sourcing and roasting fine coffees in small batches. Visit www.drinkperla.com for more information.",September 2020,Medium-Light,Per'la Specialty Roasters,"Miami, Florida",https://www.coffeereview.com/review/honduras-san-vincent/
